Directors,Stars
Felix van Groeningen,"Veerle Baetens, Johan Heldenbergh, Nell Cattrysse"
Walter Salles,"Gael García Bernal, Rodrigo de la Serna, Mía Maestro"
Susanne Bier,"Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård"
Sidney Lumet,"Paul Newman, Charlotte Rampling, Jack Warden"
René Clément,"Alain Delon, Maurice Ronet, Marie Laforêt"
Richard Linklater,"Ethan Hawke, Trevor Jack Brooks, Lorelei Linklater"
René Laloux,"Barry Bostwick, Jennifer Drake, Eric Baugin"
Jim Jarmusch,"Winona Ryder, Gena Rowlands, Lisanne Falk"
"Howard Hawks, Arthur Rosson","John Wayne, Montgomery Clift, Joanne Dru"
"Felix van Groeningen, Charlotte Vandermeersch","Lupo Barbiero, Cristiano Sassella, Elena Lietti"
Edward Dmytryk,"Humphrey Bogart, José Ferrer, Van Johnson"
Tetsuya Nakashima,"Takako Matsu, Yoshino Kimura, Masaki Okada"
Howard Hawks,"Gary Cooper, Barbara Stanwyck, Oscar Homolka"
John Woo,"Chow Yun-Fat, Tony Leung Chiu-wai, Teresa Sun-Kwan Mo"
Paolo Genovese,"Giuseppe Battiston, Anna Foglietta, Marco Giallini"
Mikael Håfström,"Andreas Wilson, Henrik Lundström, Gustaf Skarsgård"
"Akira Kurosawa, Ishirô Honda","Akira Terao, Mitsuko Baishô, Toshie Negishi"
Robert Siodmak,"Burt Lancaster, Ava Gardner, Edmond O'Brien"
Fred Zinnemann,"Paul Scofield, Wendy Hiller, Robert Shaw"
Michael Curtiz,"Errol Flynn, Olivia de Havilland, Lionel Atwill"
John Cameron Mitchell,"John Cameron Mitchell, Miriam Shor, Stephen Trask"
Robert Altman,"Shelley Duvall, Sissy Spacek, Janice Rule"
Meghna Gulzar,"Vicky Kaushal, Sanya Malhotra, Fatima Sana Shaikh"
Wong Kar-Wai,"Leslie Cheung, Tony Leung Chiu-wai, Chang Chen"
Tatsuya Nagamine,"Masako Nozawa, Aya Hisakawa, Ryô Horikawa"
Don Siegel,"Kevin McCarthy, Dana Wynter, Larry Gates"
Abhishek Chaubey,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor"
John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh"
J. Lee Thompson,"Gregory Peck, Robert Mitchum, Polly Bergen"
Abbas Kiarostami,"Homayoun Ershadi, Abdolhosein Bagheri, Afshin Khorshid Bakhtiari"
Wayne Wang,"Tamlyn Tomita, Rosalind Chao, Kieu Chinh"
Sergio Corbucci,"Jean-Louis Trintignant, Klaus Kinski, Frank Wolff"
Michelangelo Antonioni,"Gabriele Ferzetti, Monica Vitti, Lea Massari"
Peter Horton,"Joseph Mazzello, Brad Renfro, Aeryk Egan"
Asghar Farhadi,"Shahab Hosseini, Taraneh Alidoosti, Mina Sadati"
John Huston,"Humphrey Bogart, Edward G. Robinson, Lauren Bacall"
John Sturges,"Spencer Tracy, Robert Ryan, Anne Francis"
Terence Young,"Audrey Hepburn, Alan Arkin, Richard Crenna"
John Ford,"Walter Pidgeon, Maureen O'Hara, Anna Lee"
Jimmy T. Murakami,"Peggy Ashcroft, John Mills, Robin Houston"
Delbert Mann,"Ernest Borgnine, Betsy Blair, Esther Minciotti"
"Béla Tarr, Ágnes Hranitzky","János Derzsi, Erika Bók, Mihály Kormos"
Oliver Hirschbiegel,"Moritz Bleibtreu, Christian Berkel, Oliver Stokowski"
Henry King,"Gregory Peck, Hugh Marlowe, Gary Merrill"
George Stevens,"Montgomery Clift, Elizabeth Taylor, Shelley Winters"
Woody Allen,"Mia Farrow, Jeff Daniels, Danny Aiello"
Vittorio De Sica,"Sophia Loren, Jean-Paul Belmondo, Raf Vallone"
Anders Thomas Jensen,"Ulrich Thomsen, Mads Mikkelsen, Nicolas Bro"
Aku Louhimies,"Eero Aho, Johannes Holopainen, Jussi Vatanen"
Mamoru Hosoda,"Riisa Naka, Takuya Ishida, Mitsutaka Itakura"
John Ford,"Henry Fonda, Linda Darnell, Victor Mature"
George Cukor,"Norma Shearer, Joan Crawford, Rosalind Russell"
Werner Herzog,"Bruno S., Eva Mattes, Clemens Scheitz"
Jacques Demy,"Catherine Deneuve, George Chakiris, Françoise Dorléac"
George Cukor,"Katharine Hepburn, Cary Grant, Doris Nolan"
Leo McCarey,"Groucho Marx, Harpo Marx, Chico Marx"
Jacques Tati,"Jacques Tati, Jean-Pierre Zola, Adrienne Servantie"
Sylvain Chomet,"Michèle Caucheteux, Jean-Claude Donda, Michel Robin"
Elia Kazan,"Natalie Wood, Warren Beatty, Pat Hingle"
Laura McGann,"Alessia Zecchini, Stephen Keenan, Leigh Baker"
Leo McCarey,"Irene Dunne, Cary Grant, Ralph Bellamy"
Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Antonio Aakeel"
Georg Wilhelm Pabst,"Louise Brooks, Fritz Kortner, Francis Lederer"
Michelangelo Antonioni,"Monica Vitti, Alain Delon, Francisco Rabal"
Nora Twomey,"Saara Chaudry, Soma Chhaya, Noorin Gulamgaus"
Henry King,"Gregory Peck, Helen Westcott, Millard Mitchell"
Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn"
Víctor Erice,"Fernando Fernán Gómez, Teresa Gimpera, Ana Torrent"
Fritz Lang,"Edward G. Robinson, Joan Bennett, Dan Duryea"
Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton"
Costa-Gavras,"Jack Lemmon, Sissy Spacek, Melanie Mayron"
"Masaaki Yuasa, Kôji Morimoto","Kôji Imada, Sayaka Maeda, Takashi Fujii"
François Truffaut,"Jeanne Moreau, Oskar Werner, Henri Serre"
Jean-Jacques Annaud,"Tchéky Karyo, Bart the Bear, Youk the Bear"
Jonah Hill,"Sharon Feldstein, Jonah Hill, Phil Stutz"
Richard Brooks,"Burt Lancaster, Jean Simmons, Arthur Kennedy"
Song Il-gon,"So Ji-seob, Han Hyo-joo, Kang Shin-il"
Zeki Demirkubuz,"Ufuk Bayraktar, Vildan Atasever, Engin Akyürek"
Daniel Roher,"Alexei Navalny, Yulia Navalnaya, Christo Grozev"
Takeshi Kitano,"Takeshi Kitano, Kayoko Kishimoto, Ren Ôsugi"
Krzysztof Kieslowski,"Boguslaw Linda, Tadeusz Lomnicki, Zbigniew Zapasiewicz"
Robert Bresson,"Anne Wiazemsky, Walter Green, François Lafarge"
Ingmar Bergman,"Ingrid Thulin, Gunnel Lindblom, Birger Malmsten"
Torquil Jones,"Nirmal Purja, Suchi Purja, Klára Kolouchová"
Karim Aïnouz,"Julia Stockler, Carol Duarte, Flávia Gusmão"
Mervyn LeRoy,"Vivien Leigh, Robert Taylor, Lucile Watson"
Howard Hawks,"Gary Cooper, Walter Brennan, Joan Leslie"
James Marsh,"Philippe Petit, Jean François Heckel, Jean-Louis Blondeau"
Rainer Werner Fassbinder,"Hanna Schygulla, Klaus Löwitsch, Ivan Desny"
"Hiroyuki Yamashita, Toshiyuki Tsuru","Yûko Sanpei, Kokoro Kikuchi, Ryûichi Kijima"
Asghar Farhadi,"Bérénice Bejo, Tahar Rahim, Ali Mosaffa"
"Jimmy Chin, Elizabeth Chai Vasarhelyi","Conrad Anker, Grace Chin, Jimmy Chin"
Andrzej Wajda,"Zbigniew Cybulski, Ewa Krzyzewska, Waclaw Zastrzezynski"
Nikita Mikhalkov,"Julia Ormond, Oleg Menshikov, Aleksey Petrenko"
Edmund Goulding,"Tyrone Power, Joan Blondell, Coleen Gray"
Shekhar Kapur,"Anil Kapoor, Sridevi, Amrish Puri"
D.W. Griffith,"Lillian Gish, Robert Harron, Mae Marsh"
Alex Gibney,"David Sanger, Emad Kiyaei, Eric Chien"
Fatih Akin,"Baki Davrak, Gürsoy Gemec, Cengiz Daner"
Masahiro Andô,"Tomoya Nagase, Yuri Chinen, Kôichi Yamadera"
Abbas Kiarostami,"Mohamad Ali Keshavarz, Farhad Kheradmand, Zarifeh Shiva"
István Szabó,"Klaus Maria Brandauer, Ildikó Bánsági, Krystyna Janda"
Joseph L. Mankiewicz,"Jeanne Crain, Linda Darnell, Ann Sothern"
Jae-young Kwak,"Son Ye-jin, Zo In-sung, Cho Seung-woo"
Toshiyuki Kubooka,"Hiroaki Iwanaga, Marc Diraison, Takahiro Sakurai"
Jan Komasa,"Bartosz Bielenia, Aleksandra Konieczna, Eliza Rycembel"
"Aldo Baglio, Giacomo Poretti, Giovanni Storti","Aldo Baglio, Giovanni Storti, Giacomo Poretti"
Werner Herzog,"Bruno S., Walter Ladengast, Brigitte Mira"
William Wyler,"Walter Huston, Ruth Chatterton, Paul Lukas"
Parasuram,"Vijay Deverakonda, Rashmika Mandanna, Subbaraju"
Bille August,"Pelle Hvenegaard, Max von Sydow, Erik Paaske"
Billy Corben,"Jon Roberts, Al Sunshine, Sam Burstyn"
Chris Marker,"Amilcar Cabral, Florence Delay, Arielle Dombasle"
Deepa Mehta,"Lisa Ray, John Abraham, Seema Biswas"
Morgan Neville,"Asia Argento, Anthony Bourdain, Ariane Bourdain"
Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny"
"Orson Welles, Gary Graver, Oja Kodar","Orson Welles, Oja Kodar, François Reichenbach"
Takeshi Kitano,"Takeshi Kitano, Yusuke Sekiguchi, Kayoko Kishimoto"
Masayuki Suô,"Kôji Yakusho, Tamiyo Kusakari, Naoto Takenaka"
Luis Puenzo,"Norma Aleandro, Héctor Alterio, Chunchuna Villafañe"
Shakun Batra,"Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah"
S.S. Rajamouli,"Sudeep, Nani, Samantha Ruth Prabhu"
Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor"
Werner Herzog,"Werner Herzog, Scott Rowland, Stefan Pashov"
Shona Auerbach,"Emily Mortimer, Jack McElhone, Gerard Butler"
Jean Vigo,"Dita Parlo, Jean Dasté, Gilles Margaritis"
Asif Kapadia,"Diego Maradona, Dalma Maradona, Pelé"
S.S. Rajamouli,"Ram Charan, Kajal Aggarwal, Dev Gill"
Tatsuya Nagamine,"Mayumi Tanaka, Kazuya Nakai, Akemi Okamura"
Ingmar Bergman,"Ulla Jacobsson, Eva Dahlbeck, Harriet Andersson"
Randeep Hooda,"Randeep Hooda, Ankita Lokhande, Apinderdeep Singh"
Damien O'Donnell,"James McAvoy, Steven Robertson, Romola Garai"
Emir Kusturica,"Moreno De Bartoli, Predrag 'Miki' Manojlovic, Mirjana Karanovic"
Sergei Eisenstein,"Nikolay Cherkasov, Lyudmila Tselikovskaya, Serafima Birman"
Mike van Diem,"Pavlik Jansen op de Haar, Jan Decleir, Fedja van Huêt"
Robert Bresson,"Nadine Nortier, Jean-Claude Guilbert, Marie Cardinal"
Stephanie Soechtig,"Michele Simon, Katie Couric, Bill Clinton"
Jean-Pierre Melville,"Jean-Paul Belmondo, Serge Reggiani, Jean Desailly"
Yimou Zhang,"Ziyi Zhang, Honglei Sun, Hao Zheng"
Karthik Subbaraj,"Vikram, Simran, Dhruv Vikram"
Jan Sverák,"Zdenek Sverák, Andrey Khalimon, Libuse Safránková"
Mani Ratnam,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan"
Guy Ferland,"Tom Cavanagh, Ben Foster, Randy Harrison"
"John Maloof, Charlie Siskel","Vivian Maier, John Maloof, Daniel Arnaud"
Andrés Wood,"Matías Quer, Ariel Mateluna, Manuela Martelli"
Robert Bresson,"Claude Laydu, Nicole Ladmiral, Jean Riveyre"
Chuan Lu,"Ye Liu, Wei Fan, Hideo Nakaizumi"
"John G. Blystone, Buster Keaton","Buster Keaton, Natalie Talmadge, Joe Keaton"
Lee Fulkerson,"Lee Fulkerson, Matthew Lederman, Alona Pulde"
Marcel Carné,"Jean Gabin, Michel Simon, Michèle Morgan"
Chandra Barot,"Amitabh Bachchan, Zeenat Aman, Pran Sikand"
Onur Ünlü,"Ali Atay, Demet Evgar, Damla Sönmez"
"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Pedro Armendáriz Jr., Jacques Perrin"
Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor"
Dibakar Banerjee,"Abhay Deol, Paresh Rawal, Nitu Chandra"
Onur Ünlü,"Serhan Ergören, Serkan Keskin, Ahmet Çevik"
Venkat Prabhu,"Ajith Kumar, Arjun Sarja, Trisha Krishnan"
"Henry Alex Rubin, Dana Adam Shapiro","Joe Soares, Keith Cavill, Mark Zupan"
H. Vinoth,"Ajith Kumar, Shraddha Srinath, Abhirami Venkatachalam"
Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin"
David Lynch,"Bill Pullman, Patricia Arquette, John Roselius"
Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie"
"Alexandre de La Patellière, Matthieu Delaporte","Pierre Niney, Bastien Bouillon, Anaïs Demoustier"
Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman"
Luc Besson,"Bruce Willis, Milla Jovovich, Gary Oldman"
Rich Peppiatt,"Móglaí Bap, Mo Chara, DJ Próvai"
Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson"
Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson"
Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas"
Sean Durkin,"Zac Efron, Jeremy Allen White, Harris Dickinson"
Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone"
Chad Stahelski,"Keanu Reeves, Laurence Fishburne, George Georgiou"
Yeon Sang-ho,"Gong Yoo, Jung Yu-mi, Ma Dong-seok"
"Ron Clements, John Musker, Don Hall","Auli'i Cravalho, Dwayne Johnson, Rachel House"
Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey"
Darren Aronofsky,"Brendan Fraser, Sadie Sink, Ty Simpkins"
Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino"
Sukumar,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna"
Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner"
David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges"
Charlotte Wells,"Paul Mescal, Frankie Corio, Celia Rowlson-Hall"
Andrew Haigh,"Andrew Scott, Paul Mescal, Carter John Grout"
Zack Snyder,"Gerard Butler, Lena Headey, David Wenham"
Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster"
David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
Stephen Daldry,"Kate Winslet, Ralph Fiennes, Bruno Ganz"
Franco Zeffirelli,"Leonard Whiting, Olivia Hussey, John McEnery"
Joseph Kosinski,"Josh Brolin, Miles Teller, Jeff Bridges"
Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz"
David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman"
Alejandro Monteverde,"Jim Caviezel, Mira Sorvino, Bill Camp"
Baz Luhrmann,"Nicole Kidman, Ewan McGregor, John Leguizamo"
Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse"
Paul Verhoeven,"Peter Weller, Nancy Allen, Dan O'Herlihy"
"Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Russell Brand"
David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin"
Sean Baker,"Brooklynn Prince, Bria Vinaite, Willem Dafoe"
Mike Judge,"Ron Livingston, Jennifer Aniston, David Herman"
Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller"
Marc Webb,"Chris Evans, Mckenna Grace, Lindsay Duncan"
George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor"
Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill"
Francis Ford Coppola,"Al Pacino, Diane Keaton, Andy Garcia"
Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr"
Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan"
James Wan,"Cary Elwes, Leigh Whannell, Danny Glover"
Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus"
John Lee Hancock,"Quinton Aaron, Sandra Bullock, Tim McGraw"
"Tyler Nilson, Michael Schwartz","Zack Gottsagen, Ann Pierce, Dakota Johnson"
Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton"
Michael Mann,"Daniel Day-Lewis, Madeleine Stowe, Russell Means"
Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly"
Richard Donner,"Mel Gibson, Danny Glover, Gary Busey"
"Mark Osborne, John Stevenson","Jack Black, Ian McShane, Angelina Jolie"
Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott"
David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz"
James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista"
John Boorman,"Jon Voight, Burt Reynolds, Ned Beatty"
David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick"
"Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer"
Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams"
Terrence Malick,"Jim Caviezel, Sean Penn, Nick Nolte"
"Jerome Robbins, Robert Wise","Natalie Wood, George Chakiris, Richard Beymer"
"Ethan Coen, Joel Coen","Jeff Bridges, Matt Damon, Hailee Steinfeld"
"Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart, Melora Walters"
Pedro Almodóvar,"Antonio Banderas, Elena Anaya, Jan Cornet"
Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates"
Gregg Araki,"Brady Corbet, Joseph Gordon-Levitt, Elisabeth Shue"
Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Verna Bloom"
Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón"
David Zucker,"Leslie Nielsen, Priscilla Presley, O.J. Simpson"
Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts"
George Miller,"Mel Gibson, Bruce Spence, Michael Preston"
Jonathan Lynn,"Joe Pesci, Marisa Tomei, Ralph Macchio"
David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl"
Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones"
Ridley Scott,"Susan Sarandon, Geena Davis, Harvey Keitel"
Joel Schumacher,"Michael Douglas, Robert Duvall, Barbara Hershey"
Blake Edwards,"Audrey Hepburn, George Peppard, Patricia Neal"
Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins"
John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson"
"Ron Clements, John Musker","Jodi Benson, Samuel E. Wright, Rene Auberjonois"
Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee"
John Huston,"Richard Burton, Ava Gardner, Deborah Kerr"
"William Cottrell, David Hand, Wilfred Jackson","Adriana Caselotti, Harry Stockwell, Lucille La Verne"
James Mangold,"Russell Crowe, Christian Bale, Ben Foster"
Simon Curtis,"Kevin Costner, Milo Ventimiglia, Jackie Minns"
Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda"
Woody Allen,"Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer"
Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto"
Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff"
Wes Anderson,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston"
Brian G. Hutton,"Richard Burton, Clint Eastwood, Mary Ure"
Wolfgang Reitherman,"Phil Harris, Sebastian Cabot, Louis Prima"
Pablo Berger,Ivan Labanda
Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis"
Alfred Hitchcock,"Rod Taylor, Tippi Hedren, Jessica Tandy"
John Hughes,"Steve Martin, John Candy, Laila Robins"
Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck"
Brian G. Hutton,"Clint Eastwood, Telly Savalas, Don Rickles"
Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson"
"Michael Rianda, Jeff Rowe","Abbi Jacobson, Danny McBride, Maya Rudolph"
Makoto Shinkai,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu"
Andrew Niccol,"Nicolas Cage, Ethan Hawke, Jared Leto"
Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo"
Jessie Nelson,"Sean Penn, Michelle Pfeiffer, Dakota Fanning"
Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley"
Sydney Pollack,"Robert Redford, Will Geer, Delle Bolton"
Hayao Miyazaki,"Cate Blanchett, Matt Damon, Liam Neeson"
Gareth Evans,"Iko Uwais, Ananda George, Ray Sahetapy"
Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark"
Bernardo Bertolucci,"Robert De Niro, Gérard Depardieu, Dominique Sanda"
Gabriele Muccino,"Will Smith, Rosario Dawson, Woody Harrelson"
"Guillermo del Toro, Mark Gustafson","Ewan McGregor, David Bradley, Gregory Mann"
Luis Buñuel,"Catherine Deneuve, Jean Sorel, Michel Piccoli"
Fernando Meirelles,"Jonathan Pryce, Anthony Hopkins, Juan Minujín"
Norman Jewison,"Denzel Washington, Vicellous Shannon, Deborah Kara Unger"
Don Siegel,"Clint Eastwood, Patrick McGoohan, Roberts Blossom"
Ron Maxwell,"Tom Berenger, Martin Sheen, Stephen Lang"
Tom Tykwer,"Franka Potente, Moritz Bleibtreu, Herbert Knaup"
Nicolas Roeg,"Jenny Agutter, David Gulpilil, Luc Roeg"
Destin Daniel Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson"
"Martin Rosen, John Hubley","John Hurt, Richard Briers, Ralph Richardson"
Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly"
Kevin Macdonald,"James McAvoy, Forest Whitaker, Gillian Anderson"
Wes Anderson,"Jason Schwartzman, Bill Murray, Olivia Williams"
Oriol Paulo,"Jose Coronado, Hugo Silva, Belén Rueda"
Anthony Maras,"Dev Patel, Armie Hammer, Nazanin Boniadi"
Francis Lee,"Josh O'Connor, Alec Secareanu, Gemma Jones"
"Joel Coen, Ethan Coen","John Turturro, John Goodman, Judy Davis"
George Stevens,"Elizabeth Taylor, Rock Hudson, James Dean"
Billy Wilder,"Humphrey Bogart, Audrey Hepburn, William Holden"
Alan Parker,"Robert Arkins, Michael Aherne, Angeline Ball"
Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner"
Hiromasa Yonebayashi,"Bridgit Mendler, Amy Poehler, Will Arnett"
Yoshiaki Kawajiri,"Andrew Philpot, John Rafter Lee, Pamela Adlon"
Alejandro G. Iñárritu,"Sean Penn, Benicio Del Toro, Naomi Watts"
Alfonso Cuarón,"Liesel Matthews, Eleanor Bron, Liam Cunningham"
Chiwetel Ejiofor,"Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo"
Robert Altman,"Andie MacDowell, Julianne Moore, Tim Robbins"
Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey"
James Ivory,"James Wilby, Rupert Graves, Hugh Grant"
Spike Lee,"Edward Norton, Barry Pepper, Philip Seymour Hoffman"
Paul Greengrass,"David Alan Basche, Olivia Thirlby, Liza Colón-Zayas"
Ishirô Honda,"Takashi Shimura, Akihiko Hirata, Akira Takarada"
Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick"
Charles Vidor,"Rita Hayworth, Glenn Ford, George Macready"
Dean Fleischer Camp,"Jenny Slate, Dean Fleischer Camp, Isabella Rossellini"
Matteo Garrone,"Seydou Sarr, Moustapha Fall, Issaka Sawadogo"
Pedro Almodóvar,"Penélope Cruz, Carmen Maura, Lola Dueñas"
Jonah Markowitz,"Trevor Wright, Brad Rowe, Tina Holmes"
James Frawley,"Jim Henson, Frank Oz, Jerry Nelson"
George Stevens,"Alan Ladd, Jean Arthur, Van Heflin"
Marc Forster,"Khalid Abdalla, Ahmad Khan Mahmoodzada, Atossa Leoni"
Robert Altman,"Warren Beatty, Julie Christie, Rene Auberjonois"
Mark Rydell,"Katharine Hepburn, Henry Fonda, Jane Fonda"
Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr"
Sergio Leone,"Rod Steiger, James Coburn, Romolo Valli"
Derek Tsang,"Dongyu Zhou, Jackson Yee, Fang Yin"
Michael Powell,"Karlheinz Böhm, Anna Massey, Moira Shearer"
Tom McCarthy,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale"
Robert Altman,"Keith Carradine, Karen Black, Ronee Blakley"
Lasse Hallström,"Anton Glanzelius, Tomas von Brömssen, Anki Lidén"
Sebastian Schipper,"Laia Costa, Frederick Lau, Franz Rogowski"
Sidney Lumet,"River Phoenix, Christine Lahti, Judd Hirsch"
Dennis Gansel,"Jürgen Vogel, Frederick Lau, Max Riemelt"
Mark Osborne,"Jeff Bridges, Mackenzie Foy, Rachel McAdams"
James Whale,"Claude Rains, Gloria Stuart, William Harrigan"
Roman Polanski,"Catherine Deneuve, Ian Hendry, John Fraser"
Jeff Orlowski-Yang,"Tristan Harris, Jeff Seibert, Bailey Richardson"
Ron Howard,"Frank Langella, Michael Sheen, Kevin Bacon"
Joseph Sargent,"Walter Matthau, Robert Shaw, Martin Balsam"
Frank Capra,"Ronald Colman, Jane Wyatt, Edward Everett Horton"
Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim"
Shin'ichirô Ueda,"Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama"
Sergei Parajanov,"Sofiko Chiaureli, Melkon Alekyan, Vilen Galstyan"
Andrew Haigh,"Tom Cullen, Chris New, Jonathan Race"
Anton Corbijn,"Sam Riley, Samantha Morton, Craig Parkinson"
Hiromasa Yonebayashi,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima"
Jean-Pierre Jeunet,"Audrey Tautou, Gaspard Ulliel, Jodie Foster"
John Frankenheimer,"Rock Hudson, Frank Campanella, John Randolph"
Benjamin Christensen,"Benjamin Christensen, Elisabeth Christensen, Maren Pedersen"
Levan Akin,"Levan Gelbakhiani, Bachi Valishvili, Ana Javakishvili"
Georges Franju,"Pierre Brasseur, Alida Valli, Juliette Mayniel"
Mike Leigh,"Imelda Staunton, Jim Broadbent, Heather Craney"
Don Siegel,"John Wayne, Lauren Bacall, Ron Howard"
James Clavell,"Sidney Poitier, Judy Geeson, Christian Roberts"
Ted Kotcheff,"Donald Pleasence, Gary Bond, Chips Rafferty"
Krzysztof Kieslowski,"Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska"
Blake Edwards,"Julie Andrews, James Garner, Robert Preston"
Scott Hicks,"Geoffrey Rush, Armin Mueller-Stahl, Justin Braine"
Rob Sitch,"Michael Caton, Anne Tenney, Stephen Curry"
