Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
3070,3070. Ronia: The Robber's Daughter,1984,7.3,126,13000,Not Rated,N/A,"Ronja, the only child of robber chief Mattis must learn to survive the dangers of her local wilderness. In secret she also befriends Birk, the son of a rivaling robber Borka."
3071,3071. Village of the Damned,1960,7.3,77,20000,Approved,77,"In the English village of Midwich, the blonde-haired, glowing-eyed children of uncertain paternity prove to have frightening powers."
3072,3072. Tender Mercies,1983,7.3,92,12000,PG,76,"A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together."
3073,3073. The Last Black Man in San Francisco,2019,7.3,121,22000,R,82,A young man searches for home in the changing city that seems to have left him behind.
3074,3074. Keith,2008,7.3,95,38000,PG-13,N/A,"Natalie, head of her curriculum activities in high school and riding on a tennis scholarship for college, gets Keith as her Chemistry lab partner. As Natalie can be uptight, Keith proves to be the opposite, even while hiding a secret."
3075,3075. Atlantic City,1980,7.3,104,19000,R,85,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger."
3076,3076. Nil by Mouth,1997,7.3,128,10000,R,76,"A rough, short-tempered patriarch of a working-class family sees his life and the relationships around him slowly unravel."
3077,3077. The Man with the Golden Arm,1955,7.3,119,13000,Approved,63,A junkie must face his true self to kick his drug addiction.
3078,3078. Barney's Version,2010,7.3,134,27000,R,67,"The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky."
3079,3079. Norma Rae,1979,7.3,114,13000,PG,61,A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.
3080,3080. Shanghai Express,1932,7.3,82,11000,Approved,83,A notorious woman rides a train through a dangerous situation with a British captain she loved.
3081,3081. Richard III,1995,7.3,104,16000,R,86,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
3082,3082. The Spanish Apartment,2002,7.3,122,43000,R,65,"A strait-laced French student moves into an apartment in Barcelona with a cast of six other characters from all over Europe. Together, they speak the international language of love and friendship."
3083,3083. A Woman Is a Woman,1961,7.3,84,20000,Not Rated,71,A stripper who's desperate to become a mother accepts her reluctant boyfriend's suggestion that she be impregnated by his best friend.
3084,3084. Holiday Inn,1942,7.3,100,19000,Approved,70,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer."
3085,3085. Pumping Iron,1977,7.3,86,26000,PG,72,Arnold Schwarzenegger and Lou Ferrigno face off in a no-holds-barred competition for the title of Mr. Olympia in this critically-acclaimed film that made Schwarzenegger a household name.
3086,"3086. The Long, Hot Summer",1958,7.3,115,13000,Approved,N/A,"Accused barn burner and conman Ben Quick arrives in a small Mississippi town and quickly ingratiates himself with its richest family, the Varners."
3087,3087. Hope and Glory,1987,7.3,113,15000,PG-13,86,A young boy living on the outskirts of London comes of age during the uncertain days of World War II.
3088,3088. Written on the Wind,1956,7.3,99,14000,Approved,86,"Alcoholic playboy Kyle Hadley marries the woman secretly loved by his poor but hard-working best friend, who in turn is pursued by Kyle's sister."
3089,3089. In the House,2012,7.3,105,35000,R,72,A high school French teacher is drawn into a precocious student's increasingly transgressive story about his relationship with a friend's family.
3090,3090. Detour,1945,7.3,66,21000,Approved,N/A,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend."
3091,3091. Bajirao Mastani,2015,7.3,158,40000,Not Rated,N/A,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand."
3092,3092. The Front Page,1974,7.3,105,16000,PG,62,A ruthless editor tries to get his top reporter to cover one more crime story before retirement.
3093,3093. The Monster,1994,7.3,112,12000,R,N/A,"After a series of bizarre actions, Loris is mistaken for a serial killer. Jessica, a policewoman in undercover, will try to induce him to commit a murder."
3094,3094. On the Town,1949,7.3,98,19000,Approved,71,Three sailors wreak havoc as they search for love during a whirlwind 24-hour leave in New York City.
3095,3095. The In-Laws,1979,7.3,103,10000,PG,69,"On the eve of their children's marriage, NYC in-laws Sheldon Kornpett and Vince Ricardo embark on a series of misadventures involving the CIA, the Treasury Department and Central American dictators."
3096,3096. Hilary and Jackie,1998,7.3,121,11000,R,78,"The tragic story of world renowned classic cellist Jacqueline du Pré, as told from the point of view of her sister, flautist Hilary du Pré-Finzi."
3097,3097. Brigsby Bear,2017,7.3,97,18000,PG-13,67,"After being freed from his life in an underground bunker, a man sets out to make a movie of the only TV show he has ever known."
3098,"3098. Two Days, One Night",2014,7.3,95,51000,PG-13,89,"Liège, Belgium. Sandra is a factory worker who discovers that her workmates have opted for a EUR1,000 bonus in exchange for her dismissal. She has only a weekend to convince her colleagues to give up their bonuses in order to keep her job."
3099,3099. The Collector,1967,7.3,86,10000,Not Rated,N/A,"A womanizing art dealer and a painter find the serenity of their Riviera vacation disturbed by a third guest, a vivacious bohemian woman known for her long list of male conquests."
3100,3100. Christmas in Connecticut,1945,7.3,101,13000,Approved,64,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.
3101,3101. My Favorite Year,1982,7.3,92,11000,PG,62,"An aging, dissolute matinee idol is slated to appear on a live TV variety show in 1954, and a young comedy writer is tasked with the thankless job of keeping him ready and sober for the broadcast."
3102,3102. Kho Gaye Hum Kahan,2023,7.3,135,31000,TV-14,N/A,"Ahana, Neil and Imaad are three friends in their 20s trying to find meaning in the digital age. They lean on each other as they navigate complexities of relationships and self-discovery."
3103,3103. Read My Lips,2001,7.3,115,17000,R,82,She is almost deaf and he lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.
3104,3104. Monsoon Wedding,2001,7.3,114,27000,R,77,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India."
3105,3105. Roma,1972,7.3,120,14000,R,N/A,"A fluid, unconnected and sometimes chaotic procession of scenes detailing the various people and events of life in Italy's capital, most of it based on director Federico Fellini's life."
3106,3106. City Island,2009,7.3,104,33000,PG-13,66,"Prison guard Vince tells Molly from acting class, that one inmate is his 24 y.o. love child. Vince takes him home to stay with his family - straight A son with fat girl fetish, college dropout/stripper daughter and cute wife."
3107,3107. Phoenix,2014,7.3,98,21000,PG-13,89,"After surviving Auschwitz, a former cabaret singer has her disfigured face reconstructed and returns to her war-ravaged hometown to seek out her gentile husband, who may or may not have betrayed her to the Nazis."
3108,3108. Monsieur Hulot's Holiday,1953,7.3,83,21000,Not Rated,90,"Monsieur Hulot comes to a beachside hotel for a vacation and accidentally, but good-naturedly, causes havoc."
3109,3109. In China They Eat Dogs,1999,7.3,91,24000,Not Rated,N/A,"Two brothers, one cold and ruthless, the other sensitive and reluctant, and their brutal misadventures."
3110,3110. The Bélier Family,2014,7.3,106,30000,N/A,N/A,"A girl, who lives with her deaf parents, discovers that she has the gift of singing."
3111,3111. Loft,2008,7.3,118,25000,N/A,N/A,"Five close friends, all of them married, share a loft to meet their mistresses. One day they find the body of a young woman in the loft. Since there are only five keys to the loft, the five men begin to suspect each other of murder."
3112,"3112. Sorry, Wrong Number",1948,7.3,89,13000,Approved,N/A,"When neurotic bedridden wife Leona Stevenson overhears a murder plot on her telephone, she tries to piece the puzzle together and prevent the murder. Based on Lucille Fletcher's famous radio play."
3113,3113. Manhattan Murder Mystery,1993,7.3,104,48000,PG,71,Middle-aged New York married couple Larry and Carol Lipton suspect foul play when their neighbor Paul House's wife Lillian suddenly drops dead.
3114,3114. Bullhead,2011,7.3,129,25000,R,68,"Sint-Truiden, Belgium. Jacky, a young cattle farmer who is constantly pumped on steroids and hormones, is approached by a veterinarian to make a deal with a notorious beef trader."
3115,3115. Shogun Assassin,1980,7.3,85,12000,R,N/A,"When the wife of the Shogun's Decapitator is murdered and he is ordered to commit suicide by the paranoid Shogun, he and his four-year-old son escape and become assassins for hire, embarking on a journey of blood and violent death."
3116,3116. The Scent of Green Papaya,1993,7.3,104,10000,Not Rated,81,"A Vietnamese servant girl, Mui, observes lives within two different Saigon families: the first, a woman textile seller with three boys and a frequently absent husband; the second, a handsome young pianist with his fiancée."
3117,3117. Interiors,1978,7.3,92,21000,PG,67,"Three sisters find their lives spinning out of control in the wake of their parents' sudden, unexpected divorce."
3118,3118. The Lodger: A Story of the London Fog,1927,7.3,92,14000,Not Rated,N/A,A landlady suspects that her new lodger is the madman killing women in London.
3119,3119. The Snow Walker,2003,7.3,103,12000,PG,N/A,A pilot and his passenger struggle for survival after crashing in the Arctic tundra.
3120,3120. Little Boy,2015,7.3,106,25000,PG-13,30,An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.
3121,3121. The Collini Case,2019,7.3,123,14000,Not Rated,N/A,A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.
3122,3122. United,2011,7.3,94,13000,PG-13,N/A,"Based on the true story of Manchester United's legendary ""Busby Babes"", the youngest side ever to win the Football League, and the 1958 Munich Air Crash that claimed eight of their number."
3123,3123. Café de Flore,2011,7.3,120,17000,Not Rated,53,A love story between a man and woman. And between a mother and her son. A mystical and fantastical odyssey on love.
3124,3124. Reprise,2006,7.3,105,16000,R,79,"Fueled by literary aspirations and youthful exuberance, two competitive friends endure the pangs of love, depression, and burgeoning careers."
3125,3125. 42nd Street,1933,7.3,89,13000,Approved,83,"When the leading lady of a Broadway musical breaks her ankle, she is replaced by a young unknown actress, who becomes the star of the show."
3126,3126. Lust for Life,1956,7.3,122,13000,Approved,68,The life of brilliant but tortured artist Vincent van Gogh.
3127,3127. Heaven Can Wait,1943,7.3,112,13000,Approved,N/A,"An old roué arrives in Hades to review his life with Satan, who will rule on his eligibility to enter the Underworld."
3128,3128. Bunny Lake Is Missing,1965,7.3,107,11000,Not Rated,77,"A woman reports that her young daughter is missing, but there seems to be no evidence that she ever existed."
3129,3129. Twice Born,2012,7.3,127,18000,R,34,"A mother brings her teenage son to Sarajevo, where his father died in the Bosnian conflict years ago."
3130,3130. Mrs. Chatterjee vs. Norway,2023,7.3,144,11000,TV-MA,N/A,An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.
3131,3131. Talaash: The Answer Lies Within,2012,7.3,140,46000,Not Rated,65,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie."
3132,3132. Freddy,2022,7.3,124,35000,N/A,N/A,The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.
3133,3133. Bread and Tulips,2000,7.3,114,11000,PG-13,68,"After being forgotten in a highway café during a bus trip, a housewife decides to start a new life by herself in Venice."
3134,3134. The Glenn Miller Story,1954,7.3,115,10000,Approved,N/A,Biography of bandleader Glenn Miller from his beginnings to his death over the English Channel in December 1944.
3135,3135. What's in a Name?,2012,7.3,109,19000,PG,66,Vincent is about to become a father. At a meeting with childhood friends he announces the name for his future son. The scandalous name ignites a discussion which surfaces unpleasant matters from the past of the group.
3136,"3136. Watch Out, We're Mad",1974,7.3,102,15000,G,N/A,"After a tied first place in a local stunt race, two drivers start a contest to decide which of them will own the prize, a dune buggy. But when a mobster destroys the car, they are determined to get it back."
3137,3137. Snake in the Eagle's Shadow,1978,7.3,90,13000,PG,N/A,"An orphan who has been raised at a kung fu school, where he is treated as little more than a dogsbody and practice target for the students, has a life-changing experience after helping an old peripatetic beggar."
3138,3138. Into the Abyss,2011,7.3,107,18000,PG-13,74,Conversations with death row inmate Michael Perry and those affected by his crime serve as an examination of why people - and the state - kill.
3139,3139. Mommy Dead and Dearest,2017,7.3,82,13000,TV-MA,N/A,"This documentary explores the murder of DeeDee Blanchard by her daughter Gypsy Rose, as well as the circumstances leading up to the event."
3140,3140. Pauline at the Beach,1983,7.3,95,11000,R,N/A,Marion is about to divorce from her husband and takes her 15-year-old niece Pauline on a vacation to Granville. She meets an old love...
3141,3141. Psycho Raman,2016,7.3,133,16000,Not Rated,N/A,"Ramanna, a maniac murderer, finds a soulmate in Raghavan, a policeman, who inspects his murder cases. He tries to make Raghavan realize how they both are similar."
3142,3142. The Naked Spur,1953,7.3,91,13000,Approved,N/A,A bounty hunter trying to bring a murderer to justice is forced to accept the help of two less-than-trustworthy strangers.
3143,3143. Shock Corridor,1963,7.3,101,13000,Approved,N/A,"Bent on winning a Pulitzer Prize, a journalist commits himself to a mental institution to solve a strange and unclear murder."
3144,3144. The Spiral Staircase,1946,7.3,83,12000,Approved,N/A,"In 1916, a shadowy serial killer is targeting women with ""afflictions""; one night during a thunderstorm, the mute Helen feels menaced."
3145,3145. Three Monkeys,2008,7.3,109,23000,Not Rated,73,A family suffers from a major communication breakdown during their struggle to get through their hardships.
3146,3146. Let the Bullets Fly,2010,7.3,132,14000,Not Rated,66,"In 1920s China, a bandit arrives in a remote provincial town posing as its new mayor, where he faces off against a tyrannical local nobleman."
3147,3147. Palm Trees in the Snow,2015,7.3,163,13000,N/A,N/A,"After the death of her father, a young Spanish woman discovers a partial letter. As she searches for the answers, she embarks on a journey that takes her back to Africa, where she unfolds the secrets of her family."
3148,3148. Easter Parade,1948,7.3,103,11000,Approved,N/A,A nightclub performer hires a naive chorus girl to become his new dance partner to make his former partner jealous and to prove he can make any partner a star.
3149,3149. A Coffee in Berlin,2012,7.3,86,18000,Not Rated,63,An aimless university dropout attempts to make sense of life as he spends one fateful day wandering the streets of Berlin.
3150,3150. Graduation,2016,7.3,128,15000,R,84,A film about compromises and the implications of the parent's role.
3151,3151. Journey to Italy,1954,7.3,97,13000,Approved,100,An unhappily married couple attempts to find direction and insight while vacationing in Naples.
3152,3152. Crossfire,1947,7.3,86,10000,Approved,N/A,"A man is murdered, apparently by one of a group of demobilized soldiers he met in a bar. But which one? And why?"
3153,3153. My Hero Academia: Two Heroes,2018,7.3,96,14000,PG-13,N/A,"All Might and Deku accept an invitation to visit an artificial floating island called I-Island, where they fight a villain who takes the city hostage."
3154,3154. The Ignorant Fairies,2001,7.3,106,10000,R,69,"After a deadly car accident, Antonia starts dating her husband's friends and finds the truth about his life."
3155,3155. The Body Snatcher,1945,7.3,78,11000,Approved,74,A ruthless doctor and his young prize student find themselves continually harassed by their murderous supplier of illegal cadavers.
3156,3156. Polisse,2011,7.3,127,16000,Not Rated,74,A journalist covering police assigned to a juvenile division enters into an affair with one of her subjects.
3157,3157. Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,7.3,105,12000,PG-13,N/A,"Edward Elric, an alchemist from an alternate world, races to prevent the Thule Society from harnessing alchemy to wage war on his home."
3158,3158. The Last Metro,1980,7.3,132,16000,PG,N/A,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Germans while doing both of their jobs."
3159,3159. Gold,2018,7.3,151,15000,Not Rated,N/A,The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.
3160,3160. La Chèvre,1981,7.3,91,11000,N/A,N/A,"A daughter of a millionaire, distinguished by incredible bad luck, goes missing. The idea how to find her is either insane or brilliant - to send after her an equally unlucky person."
3161,3161. Red Sorghum,1988,7.3,91,10000,Not Rated,N/A,"When a leprous winery owner in 1930s China dies a few days after his arranged marriage, his young widow is forced to run the winery to make a living while contending with bandits, her drunkard lover, and the invading Japanese army."
3162,3162. Vaathi,2023,7.3,139,11000,N/A,N/A,"When a private school teacher is assigned to a neglected public school, he must overcome personal and political strife in his fight for education."
3163,3163. Phir Hera Pheri,2006,7.3,153,29000,N/A,N/A,"A twist of fate changes the lives of Raju, Shyam and Baburao when they get cheated by a fraudster. They must now find a way to repay a loan taken from a dreaded gangster."
3164,3164. Monsieur Ibrahim,2003,7.3,95,12000,R,69,"In Paris, a Turkish shop owner befriends a Jewish boy in his mid-teens."
3165,3165. Labyrinth of Lies,2014,7.3,124,14000,R,62,A story that exposes the conspiracy of prominent German institutions and government branches to cover up the crimes of Nazis during World War II.
3166,3166. Truman,2015,7.3,108,14000,TV-14,81,"Julián receives an unexpected visit from his friend Tomás, who lives in Canada. The two men, accompanied by Julián's faithful dog, Truman, will share emotional and surprising moments prompted by Julián's complicated situation."
3167,3167. The Parade,2011,7.3,115,13000,Not Rated,N/A,"A homophobic Serbian gangster is forced to make a deal with wedding planner gay activist, to assemble a team which will protect the upcoming Pride Parade in Belgrade, and in exchange his fiancée can get her dream wedding."
3168,3168. The Son's Room,2001,7.3,99,22000,R,73,A psychoanalyst and his family go through profound emotional trauma when their son dies in a scuba-diving accident.
3169,3169. 61 Days,2016,7.3,115,16000,N/A,N/A,"In the 1970s, a boy named Adem starts working for soda seller Kemal during the holy month of Ramadan. Adem's only dream is to fast like the adults. He tries to perform this worship secretly from everyone."
3170,3170. Bully,2011,7.3,98,11000,PG-13,74,A documentary on peer-to-peer bullying in schools across America.
3171,3171. Patema Inverted,2013,7.3,98,11000,Not Rated,66,"A young girl, from a civilization that resides in deep underground tunnels, finds herself trapped in an inverted world and teams up with a resident to escape and return home."
3172,3172. Elena,2011,7.3,109,15000,Not Rated,87,"When a sudden illness and an unexpected reunion threaten dutiful housewife Elena's potential inheritance, she must hatch a desperate plan ..."
3173,"3173. Don't Worry, I'm Fine",2006,7.3,92,11000,N/A,N/A,Lili returns from holidays and learns that her twin brother left the house after a violent argument with their father.
3174,3174. Butterflies,2018,7.3,117,19000,N/A,N/A,"In a Turkish village, three siblings who neither know each other nor anything about their late father, wait to bury his body. As they start to find out more about their father and each other, they also start to learn more about themselves."
3175,3175. Once Upon a Time in China II,1992,7.3,113,11000,R,N/A,"Arriving by train in Guangzhou, 1895, the trio fight off White Lotus followers, who want to kill all foreigners and the cute, European dressed 13th Aunt. It's not kung fu master Dr. Wong's (Jet Li) last fight."
3176,3176. 13 Tzameti,2005,7.3,93,18000,Not Rated,61,A man takes over a dead man's task without realizing the horror it entails.
3177,3177. Mardaani 2,2019,7.3,103,11000,N/A,N/A,A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?
3178,3178. The Selfish Giant,2013,7.3,91,13000,Not Rated,83,Two thirteen year-old working-class friends in Bradford seek fortune by getting involved with a local scrap dealer and criminal.
3179,3179. Taxi No. 9 2 11: Nau Do Gyarah,2006,7.3,116,11000,Not Rated,N/A,A cabbie (Patekar) and businessman (Abraham) both in need of big money partake in a two-hour adventure together.
3180,3180. Chinese Take-Away,2011,7.3,93,20000,Not Rated,N/A,A well-ordered hardware store owner in Buenos Aires will see his life turn upside down when he helps a stranded Chinese man who doesn't speak a word of Spanish find his uncle in the bustling city. But can this coexistence bear fruit?
3181,3181. On My Skin: The Last Seven Days of Stefano Cucchi,2018,7.3,100,10000,TV-MA,N/A,"The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime but in just one week's time, a family is changed forever."
3182,3182. Cartel Land,2015,7.3,100,19000,R,76,Filmmaker Matthew Heineman examines the state of the ongoing drug problem along the U.S.-Mexican border.
3183,3183. Soaked in Bleach,2015,7.3,90,12000,Not Rated,50,"Tom Grant, a private investigator once hired by Courtney Love, reveals his take on the death of Kurt Cobain."
3184,3184. Talk to Me,2007,7.3,118,10000,R,69,"The story of Washington D.C. radio personality Ralph ""Petey"" Greene, an ex-con who became a popular talk show host and community activist in the 1960s."
3185,3185. Divines,2016,7.3,105,11000,N/A,71,A street teenager from a dysfunctional family from a banlieue (HLMs) in Paris comes across a young dancer who turns her life upside down.
3186,3186. The Misfortunates,2009,7.3,108,12000,Not Rated,54,"A thirty-something novelist and impending father looks back on his all-too-formative years in the hapless, alcohol-ridden milieu of his youth in 1980s rural Flanders, Belgium."
3187,3187. Maine Pyar Kiya,1989,7.3,192,13000,Not Rated,N/A,"After Suman's father leaves her in the care of another family while he travels abroad, she falls in love with Prem. However, in order to for them to marry, Prem has to prove to Suman's father that he is not the same as his own dad."
3188,3188. Lost in La Mancha,2002,7.3,89,12000,R,75,"Terry Gilliam's doomed attempt to get his film, The Man Who Killed Don Quixote (2018), off the ground."
3189,3189. Taxi,2015,7.3,82,17000,Not Rated,91,"Banned from making movies by the Iranian government, Jafar Panahi poses as a taxi driver and makes a movie about social challenges in Iran."
3190,3190. Coming Soon,2014,7.3,134,36000,N/A,N/A,"Pirated DVD seller Zafer who is formerly an extra in movies; swore to give up illegal works when his wife wanted to get divorce. To win his family back, he and his old-fashioned crew decided to make a movie called ""Summit - The End Of Evil"" which is a fantastic science fiction movie and couldn't be shot since 1977."
3191,3191. Telling Tales,2015,7.3,103,17000,TV-Y7,N/A,The story of a minibus driver and a fairytale princesss nestling under the wing of timeless friendship in an ordinary neighborhood.
3192,3192. Jersey,2022,7.3,170,15000,Not Rated,N/A,A cricketer who quits cricket decides to revive his career at the age of 36 for his sons dream and prove his ability.
3193,3193. Mardaani,2014,7.3,113,14000,Not Rated,N/A,"A female cop Shivani Shivaji Roy, working at a Mumbai Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia."
3194,3194. Dear Comrade,2019,7.3,169,11000,Not Rated,N/A,A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.
3195,3195. Ben X,2007,7.3,93,20000,Not Rated,N/A,"As an alternative to getting bullied at school, an autistic teenager retreats into the world of online role-playing games."
3196,3196. In Darkness,2011,7.3,145,11000,R,74,A dramatization of one man's rescue of Jewish refugees in the German-occupied Polish city of Lvov.
3197,3197. Bala,2019,7.3,133,17000,TV-PG,N/A,It tells the story of a man who is balding prematurely and how he copes up with the situation.
3198,3198. Race Gurram,2014,7.3,163,13000,Not Rated,N/A,"Two brothers have two different approaches to life. While one brother follows rules and regulations, the other does things his own way."
3199,3199. Aravindha Sametha,2018,7.3,162,10000,N/A,N/A,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.
3200,3200. Gadar: Ek Prem Katha,2001,7.3,170,16000,N/A,N/A,"During the Partition of India in 1947, a Sikh truck driver falls in love with a Muslim girl belonging to an aristocratic family."
3201,3201. Ishqiya,2010,7.3,118,11000,Not Rated,N/A,"While on the run from goons, a man and his nephew fall for a kidnapper's seductive widow."
3202,3202. Dasavatharam,2008,7.3,188,11000,Not Rated,N/A,"After realizing the danger of a bio-weapon, a scientist wants to protect it from being misused. The vial accidentally reaches India, and he must race against time to prevent a potential disaster."
3203,3203. The Edge of Democracy,2019,7.3,121,16000,TV-14,81,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.
3204,3204. Yennai Arindhaal,2015,7.3,168,11000,N/A,N/A,"Sathyadev, a sincere police officer, tries to stop an organ trafficking racket. But he is unaware that the man performing the illegal trade is the same person who killed his beloved."
3205,3205. Gunda,1998,7.3,129,11000,Not Rated,N/A,"When a coolie's family is murdered by a group of gangsters and politicians, he swears revenge on them."
3206,3206. Gangster's Paradise: Jerusalema,2008,7.3,119,11000,R,53,A young hoodlum's rise from a small-time criminal to a powerful crime entrepreneur during the turbulent years before and after the fall of apartheid.
3207,3207. Attarintiki Daredi,2013,7.3,170,10000,N/A,N/A,The scion of a powerful family is tasked with retrieving an estranged family member.
3208,3208. A Real Pain,2024,7.2,90,33000,R,86,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
3209,3209. Wild at Heart,1990,7.2,125,105000,R,52,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.
3210,3210. The Passion of the Christ,2004,7.2,127,256000,R,47,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
3211,3211. The Age of Adaline,2015,7.2,112,216000,PG-13,51,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
3212,3212. Major League,1989,7.2,107,79000,R,62,"The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her."
3213,3213. The Hunger Games,2012,7.2,142,1000000,PG-13,68,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
3214,3214. The Menu,2022,7.2,107,434000,R,71,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
3215,3215. Hostiles,2017,7.2,134,100000,R,65,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
3216,3216. Where the Crawdads Sing,2022,7.2,125,142000,PG-13,43,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
3217,3217. The Suicide Squad,2021,7.2,132,427000,R,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
3218,3218. Dungeons & Dragons: Honor Among Thieves,2023,7.2,134,252000,PG-13,72,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
3219,3219. Notting Hill,1999,7.2,124,359000,PG-13,68,"A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond."
3220,3220. Don't Look Up,2021,7.2,138,630000,R,49,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.
3221,3221. From Dusk Till Dawn,1996,7.2,108,351000,R,48,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
3222,3222. Now You See Me,2013,7.2,115,728000,PG-13,50,"An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
3223,3223. Fantastic Beasts and Where to Find Them,2016,7.2,132,521000,PG-13,66,"In 1926, magizoologist Newt Scamander arrives in New York during his worldwide tour to research and rescue magical creatures as something mysterious leaves trails of destruction in the city, threatening to expose the wizarding world."
3224,3224. School of Rock,2003,7.2,109,341000,PG-13,82,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
3225,3225. Grease,1978,7.2,110,310000,PG,70,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
3226,3226. Shame,2011,7.2,101,210000,NC-17,72,A nymphomaniac's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.
3227,3227. 21 Jump Street,2012,7.2,109,616000,R,69,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
3228,3228. Mission: Impossible,1996,7.2,110,483000,PG-13,59,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
3229,3229. The Great Gatsby,2013,7.2,143,614000,PG-13,55,"A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age."
3230,3230. The Lost Boys,1987,7.2,97,168000,R,63,"When a recently divorced mother and her two teenage boys move to a coastal town to stay with her father, it doesn't take long for the brothers to realize the area is a haven for something much more sinister than party-going surfers."
3231,3231. A Bug's Life,1998,7.2,95,323000,G,78,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
3232,3232. Encanto,2021,7.2,102,277000,PG,75,"An extraordinary family, the Madrigals, live hidden in the mountains of Colombia, in a magical house called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift - every child except one, Mirabel."
3233,3233. Friday Night Lights,2004,7.2,118,68000,PG-13,70,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers."
