Short Description,Directors,Stars
"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason"
"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore"
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer"
"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut"
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.","Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger"
"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes"
"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus"
"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon"
Alex DeLarge and his droogs barbarize a decaying near-future.,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates"
A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton"
A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat"
