Index,Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Stars,Genres
49.0,The Chaos Class Is Waking Up,1976.0,8.7,94.0,21000.0,,,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley","Biography, Drama, History"
50.0,Peranbu,2018.0,8.7,147.0,17000.0,12A,,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen","Adventure, Drama, Fantasy"
51.0,"Feyzo, the Polite One",1978.0,8.7,83.0,18000.0,,,"A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has to pay a lot of money to the bride's father in order to get the bride's hand.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall","Crime, Drama"
52.0,Happy Days,1978.0,8.7,95.0,12000.0,,,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,Anuj Bhardwaj,Suzanne Bernert,"Documentary, History"
53.0,Seven,1995.0,8.6,127.0,1900000.0,18,65.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","Crime, Drama"
54.0,The Silence of the Lambs,1991.0,8.6,118.0,1600000.0,18,86.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","Adventure, Drama, Fantasy"
55.0,The Green Mile,1999.0,8.6,189.0,1500000.0,18,61.0,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,Ezra Edelman,"Willie Brown, Harry Edwards, John McKay","Documentary, Biography, Crime"
56.0,Saving Private Ryan,1998.0,8.6,169.0,1600000.0,15,91.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Moustapha Akkad,"Abdallah Gheith, Mona Wassef, Hamdy Gheith","Action, Adventure, Biography"
57.0,City of God,2002.0,8.6,130.0,829000.0,18,79.0,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua","Crime, Mystery, Thriller"
58.0,Star Wars: Episode IV - A New Hope,1977.0,8.6,121.0,1500000.0,U,90.0,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Kartal Tibet,"Kemal Sunal, Müjde Ar, Adile Nasit","Comedy, History"
59.0,Terminator 2: Judgment Day,1991.0,8.6,137.0,1200000.0,15,75.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",Walter Salles,"Fernanda Torres, Fernanda Montenegro, Selton Mello","Biography, Drama, History"
60.0,Spirited Away,2001.0,8.6,124.0,895000.0,PG,96.0,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","Action, Adventure, Sci-Fi"
61.0,Life Is Beautiful,1997.0,8.6,116.0,769000.0,PG,58.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",Drama
62.0,It's a Wonderful Life,1946.0,8.6,130.0,523000.0,U,89.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","Drama, Romance"
