"Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra","Drama, Family"
Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",Drama
Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt","Action, Biography, Drama"
"Jimmy Chin, Elizabeth Chai Vasarhelyi","Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan","Documentary, Action, Mystery"
Dziga Vertov,"Mikhail Kaufman, Elizaveta Svilova",Documentary
Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu","Animation, Drama, Fantasy"
Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil","Action, Crime, Thriller"
Mikhail Kalatozov,"Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev","Drama, Romance, War"
Ram Gopal Varma,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar","Action, Crime, Drama"
Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur","Drama, Romance"
Ram Kumar,"Vishnu Vishal, Amala Paul, Radha Ravi","Crime, Mystery, Thriller"
Yimou Zhang,"You Ge, Gong Li, Ben Niu","Drama, War"
Steve James,"William Gates, Arthur Agee, Emma Gates","Documentary, Drama, Sport"
Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan","Crime, Drama, History"
Akira Kurosawa,"Toshirô Mifune, Yûzô Kayama, Tsutomu Yamazaki",Drama
Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma","Comedy, Drama, Romance"
Joshua Oppenheimer,"Adi Rukun, M.Y. Basrun, Volker Hanisch","Documentary, Biography, History"
Kenji Mizoguchi,"Kinuyo Tanaka, Yoshiaki Hanayagi, Kyôko Kagawa",Drama
Masaki Kobayashi,"Toshirô Mifune, Yôko Tsukasa, Gô Katô",Drama
Alphonse Puthren,"Nivin Pauly, Sai Pallavi, Madonna Sebastian","Comedy, Drama, Romance"
Jude Anthany Joseph,"Tovino Thomas, Kunchacko Boban, Asif Ali","Action, Drama, Thriller"
Morgan Neville,"Fred Rogers, Margaret Whitmer, Tom Junod","Documentary, Biography, History"
Dijo Jose Antony,"Prithviraj Sukumaran, Suraj Venjaramoodu, Mamta Mohandas","Drama, Thriller"
Anjali Menon,"Dulquer Salmaan, Nivin Pauly, Nazriya Nazim","Comedy, Drama, Romance"
Nalan Kumarasamy,"Vijay Sethupathi, Sanchita Shetty, Radha Ravi","Comedy, Crime, Thriller"
Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid","Comedy, Drama, Romance"
Milorad Milinkovic,"Nikola Djuricko, Sonja Kolacaric, Tara Manic","Comedy, Drama"
Nagraj Manjule,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh","Drama, Romance"
