Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
1826,1826. Sanju,2018,7.6,155,64000,TV-MA,,"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala"
1827,1827. Johnny Guitar,1954,7.6,110,20000,Approved,83.0,"After helping a wounded gang member, a strong-willed female saloon owner is wrongly suspected of murder and bank robbery by a lynch mob.",Nicholas Ray,"Joan Crawford, Sterling Hayden, Mercedes McCambridge"
1828,1828. The Gospel According to St. Matthew,1964,7.6,137,14000,Not Rated,,The life of Jesus Christ according to the Gospel of Matthew. Film shows Christ as a Marxist avant-la-lettre and therefore uses half of the text of Matthew.,Pier Paolo Pasolini,"Enrique Irazoqui, Margherita Caruso, Susanna Pasolini"
1829,1829. Peppermint Candy,1999,7.6,129,11000,,,"Following a man's suicide, time traverses back to reveal six chapters of his life on why he committed suicide.",Lee Chang-dong,"Sul Kyung-gu, Kim Yeo-jin, Moon So-ri"
1830,1830. Sophie Scholl: The Final Days,2005,7.6,120,29000,Not Rated,76.0,"A dramatization of the final days of Sophie Scholl, one of the most famous members of the German World War II anti-Nazi resistance movement, The White Rose.",Marc Rothemund,"Julia Jentsch, Fabian Hinrichs, Alexander Held"
1831,1831. Pina,2011,7.6,103,16000,PG,83.0,"A tribute to the late German choreographer Pina Bausch, as her dancers perform her most famous creations.",Wim Wenders,"Pina Bausch, Regina Advento, Malou Airaudo"
1832,1832. Odd Man Out,1947,7.6,116,12000,Approved,87.0,A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.,Carol Reed,"James Mason, Robert Newton, Cyril Cusack"
1833,1833. The Wedding Banquet,1993,7.6,106,18000,R,81.0,"To satisfy his nagging parents, a gay landlord and a female tenant agree to a marriage of convenience, but his parents arrive to visit and things get out of hand.",Ang Lee,"Winston Chao, May Chin, Ah-Lei Gua"
1834,"1834. Play It Again, Sam",1972,7.6,85,28000,PG,77.0,"A film critic obsessed with Casablanca (1942) seeks to get over his wife leaving him by dating again with the help of a married couple and his illusory idol, Humphrey Bogart.",Herbert Ross,"Woody Allen, Diane Keaton, Tony Roberts"
1835,1835. My Way,2011,7.6,137,13000,R,30.0,"In World War II-era Korea, rival runners, one Korean (Jang Dong-gun) and one Japanese (Joe Odagiri), go to war together against the Soviets.",Kang Je-kyu,"Jang Dong-gun, Joe Odagiri, Bingbing Fan"
1836,1836. Darr,1993,7.6,178,26000,Not Rated,,"Rahul is obsessed with Kiran and stalks her constantly. However, Rahul goes berserk when she gets engaged to Sunil, a navy officer, and he decides to forcefully claim Kiran for himself.",Yash Chopra,"Sunny Deol, Juhi Chawla, Shah Rukh Khan"
1837,1837. Band of Outsiders,1964,7.6,95,28000,Not Rated,93.0,Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.,Jean-Luc Godard,"Anna Karina, Claude Brasseur, Danièle Girard"
1838,1838. Destry Rides Again,1939,7.6,95,13000,Approved,81.0,"Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy.",George Marshall,"Marlene Dietrich, James Stewart, Mischa Auer"
1839,1839. The Sea Hawk,1940,7.6,127,11000,Approved,,"Geoffrey Thorpe, a buccaneer, is hired by Queen Elizabeth I to nag the Spanish Armada. The Armada is waiting for an attack on England and Thorpe surprises them with attacks on their galleons where he shows his skills with the sword.",Michael Curtiz,"Errol Flynn, Brenda Marshall, Claude Rains"
1840,1840. Ghajini,2005,7.6,175,16000,,,"Sanjay Ramaswamy, who is suffering from short-term memory loss, sets out on a quest to find and eliminate the people responsible for his ladylove Kalpana's murder.",A.R. Murugadoss,"Suriya, Asin Thottumkal, Nayanthara"
1841,1841. Zelig,1983,7.6,79,45000,PG,,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",Woody Allen,"Woody Allen, Mia Farrow, Patrick Horgan"
1842,1842. Sanam Teri Kasam,2016,7.6,154,18000,Not Rated,,"After being disowned by her family, an awkward librarian relies on the help of her brooding neighbour.","Radhika Rao, Vinay Sapru","Harshvardhan Rane, Mawra Hocane, Vijay Raaz"
1843,1843. Control,2003,7.6,111,28000,R,72.0,"A tale about a strange young man, Bulcsú, the fellow inspectors on his team, all without exception likable characters, a rival ticket inspection team and racing along the tracks - and a tale about love.",Nimród Antal,"Sándor Csányi, Eszter Balla, Zoltán Mucsi"
1844,1844. The Last: Naruto the Movie,2014,7.6,112,19000,TV-14,,"Hinata Hyuga's younger sister has been kidnapped, so Naruto must do what he can to save her.",Tsuneo Kobayashi,"Junko Takeuchi, Nana Mizuki, Jun Fukuyama"
1845,1845. Madras Cafe,2013,7.6,130,26000,Not Rated,,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,Shoojit Sircar,"Raashi Khanna, John Abraham, Nargis Fakhri"
1846,1846. Karwaan,2018,7.6,114,19000,Not Rated,,Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,Akarsh Khurana,"Irrfan Khan, Dulquer Salmaan, Mithila Palkar"
1847,1847. Pickpocket,1959,7.6,76,26000,Not Rated,,"Michel passes the time by picking pockets, careful to never be caught despite being watched by the police. His friend Jacques may suspect, while both men may have their eyes on Jeanne, the pretty neighbor of Michel's ailing mother.",Robert Bresson,"Martin LaSalle, Marika Green, Jean Pélégri"
1848,1848. Yankee Doodle Dandy,1942,7.6,126,17000,Approved,89.0,"The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan.",Michael Curtiz,"James Cagney, Joan Leslie, Walter Huston"
1849,1849. Kedi,2016,7.6,79,16000,Not Rated,78.0,"A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",Ceyda Torun,"Yaman Barlas, Sari, Arzu Göl"
1850,1850. Jim & Andy: The Great Beyond,2017,7.6,94,28000,TV-MA,77.0,A behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon (1999).,Chris Smith,"Jim Carrey, Danny DeVito, Milos Forman"
1851,1851. The Twelve Tasks of Asterix,1976,7.6,82,20000,,,Asterix and Obelix are tasked by Julius Caesar with accomplishing twelve impossible labors to determine the fate of their indomitable Gaulish village.,"René Goscinny, Albert Uderzo","Roger Carel, Jacques Morel, Pierre Tornade"
1852,1852. Lovers of the Arctic Circle,1998,7.6,112,20000,R,,"In Lapland's cold Arctic Circle, under the eternal midnight sun, unfavourable circumstances reunite two kindred spirits. And governed by circular motifs woven by faith and love, they must answer a pivotal question. Can they deny destiny?",Julio Medem,"Najwa Nimri, Fele Martínez, Nancho Novo"
1853,1853. Gun Crazy,1950,7.6,87,16000,Approved,74.0,Two disturbed young people release their fascination with guns through a crime spree.,Joseph H. Lewis,"John Dall, Peggy Cummins, Berry Kroeger"
1854,1854. The Green Ray,1986,7.6,99,11000,R,,"It's July, and Delphine has nowhere to go for the summer. She feels very bored and ""empty"", but this won't last; one day she accidently meets someone who seems to be totally made for her...",Éric Rohmer,"Marie Rivière, María Luisa García, Vincent Gauthier"
1855,1855. Mortal World,2018,7.6,107,33000,,,"Mermer Family lives a double life working at their family owned restaurant while being undercover assassins for an international organization. After their secret is revealed, this dysfunctional family needs to work together to survive.",Ali Atay,"Ahmet Mümtaz Taylan, Alper Kul, Sarp Apak"
1856,1856. Nanook of the North,1922,7.6,78,14000,Passed,,"In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle.",Robert J. Flaherty,"Allakariallak, Alice Nevalinga, Cunayou"
1857,1857. Bad Genius,2017,7.6,130,24000,TV-MA,,"Lynn, a brilliant student, after helping her friends to get the grades they need, develops the idea of starting a much bigger exam-cheating business.",Baz Poonpiriya,"Chutimon Chuengcharoensukying, Eisaya Hosuwan, Teeradon Supapunpinyo"
1858,1858. The Pride of the Yankees,1942,7.6,128,12000,Approved,,The story of the life and career of famed baseball player Lou Gehrig.,Sam Wood,"Gary Cooper, Teresa Wright, Babe Ruth"
1859,1859. The Miracle,2015,7.6,136,15000,TV-MA,,"N the 1960s, a new teacher arrives in a village in the interior of Turkey and discovers that there is no school. He mobilizes the residents to build a place for children and the disabled to learn.",Mahsun Kirmizigül,"Talat Bulut, Mert Turak, Mahsun Kirmizigül"
1860,1860. Religulous,2008,7.6,101,61000,R,56.0,Bill Maher's take on the current state of world religion.,Larry Charles,"Bill Maher, Tal Bachman, Jonathan Boulden"
1861,1861. Wake Up Sid,2009,7.6,138,35000,Not Rated,,"The story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak"
1862,1862. Where the Sidewalk Ends,1950,7.6,95,10000,Approved,,Det. Sgt. Mark Dixon wants to be something his old man wasn't: a guy on the right side of the law. Will Dixon's vicious nature get the better of him?,Otto Preminger,"Dana Andrews, Gene Tierney, Gary Merrill"
1863,1863. A Sun,2019,7.6,156,11000,,,"A family of four fractures under the weight of unmet expectations, unexpected tragedy, and uncompromising pride.",Mong-Hong Chung,"Chien-Ho Wu, Chen Yiwen, Samantha Shu-Chin Ko"
1864,1864. The Fallen Idol,1948,7.6,95,10000,Approved,88.0,"A butler working in a foreign embassy in London falls under suspicion when his wife accidentally falls to her death, the only witness being an impressionable young boy.",Carol Reed,"Ralph Richardson, Michèle Morgan, Sonia Dresdel"
1865,1865. Ponniyin Selvan: Part I,2022,7.6,167,37000,,,"Vandiyathevan crosses the Chola land to deliver a message from the Crown Prince Aditha Karikalan, while Kundavai attempts to establish political peace as vassals and petty chieftains plot against the throne.","Mani Ratnam, Sruti Harihara Subramanian","Vikram, Aishwarya Rai Bachchan, Trisha Krishnan"
1866,1866. Bhavesh Joshi Superhero,2018,7.6,154,11000,Not Rated,,"The origin story of Bhavesh Joshi, an Indian superhero, who sets out to fulfill his slain friend's wish to clean and reform the country, by training himself to fight and wearing a mask.",Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Ashish Verma"
1867,1867. The Butterfly's Dream,2013,7.6,138,25000,,,"In a small Turkish town, two young tuberculous poets try to survive while publishing their poems. As they both fall in love, their life would never be the same.",Yilmaz Erdogan,"Kivanç Tatlitug, Mert Firat, Belçim Bilgin"
1868,1868. Ludo,2020,7.6,150,45000,,,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",Anurag Basu,"Rajkummar Rao, Sanya Malhotra, Abhishek Bachchan"
1869,1869. Eddie Murphy: Raw,1987,7.6,93,21000,R,54.0,Eddie Murphy in a stand-up performance recorded live. For an hour and a half he talks about his favourite subjects: sex and women.,Robert Townsend,"Eddie Murphy, Tatyana Ali, Billie Allen"
1870,1870. Closely Watched Trains,1966,7.6,92,14000,Not Rated,,An apprentice train dispatcher looks for love while aiding his colleagues in their resistance against the Nazis.,Jirí Menzel,"Václav Neckár, Josef Somr, Vlastimil Brodský"
1871,1871. Highway,2014,7.6,133,31000,Not Rated,40.0,"Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar"
1872,1872. Drunken Angel,1948,7.6,102,14000,Not Rated,,A drunken doctor with a hot temper and a violence-prone gangster with tuberculosis form a quicksilver bond.,Akira Kurosawa,"Takashi Shimura, Toshirô Mifune, Reizaburô Yamamoto"
1873,1873. Accattone,1961,7.6,117,11000,Not Rated,,A pimp with no other means to provide for himself finds his life spiraling out of control when his prostitute is sent to prison.,Pier Paolo Pasolini,"Franco Citti, Franca Pasut, Silvana Corsini"
1874,1874. Dragon Ball Z: Fusion Reborn,1995,7.6,51,13000,PG,,The universe is thrown into dimensional chaos as the dead come back to life. Now Goku and Vegeta must track down the cause of this uproar.,Shigeyasu Yamauchi,"Masako Nozawa, Ryô Horikawa, Takeshi Kusao"
1875,1875. Between Family,2017,7.6,124,27000,,,"Life of a singer, her daughter and her friends change when they meet with a divorced man.",Ozan Açiktan,"Engin Günaydin, Demet Evgar, Erdal Özyagcilar"
1876,1876. The Passion of Anna,1969,7.6,101,11000,R,,A recently divorced man meets an emotionally devastated widow and they begin a love affair.,Ingmar Bergman,"Liv Ullmann, Bibi Andersson, Max von Sydow"
1877,1877. Baazigar,1993,7.6,175,31000,Not Rated,,"A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive.","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shah Rukh Khan, Kajol, Dalip Tahil"
1878,1878. Detective Byomkesh Bakshy!,2015,7.6,139,25000,Not Rated,,Detective Byomkesh Bakshy is set in the 2nd World War torn Calcutta during the 1940s. Enter a magical world of nostalgia and 'Expect the Unexpected'.,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi"
1879,1879. Raanjhanaa,2013,7.6,140,36000,Not Rated,,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",Aanand L. Rai,"Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub"
1880,1880. Butterfly,1999,7.6,96,10000,R,69.0,"Spain, 1936. Moncho is an outcast at school but is able to form a strong bond with his outspoken teacher. When fascism arrives to Spain, his teacher is considered an enemy of the regime.",José Luis Cuerda,"Manuel Lozano, Fernando Fernán Gómez, Uxía Blanco"
1881,1881. The Insult,2017,7.6,113,18000,R,72.0,"After an emotional exchange between a Lebanese Christian and a Palestinian refugee escalates, the men end up in a court case that gets national attention.",Ziad Doueiri,"Adel Karam, Kamel El Basha, Camille Salameh"
1882,1882. It Might Get Loud,2008,7.6,98,14000,PG,70.0,"A documentary on the electric guitar from the point of view of three significant rock musicians: The Edge, Jimmy Page, and Jack White.",Davis Guggenheim,"Jimmy Page, The Edge, Jack White"
1883,1883. A Thursday,2022,7.6,128,26000,,,"Naina, a playschool teacher, takes 16 students hostage. Rattling the police and the leaders, her demands send shockwaves through the country.",Behzad Khambata,"Yami Gautam, Atul Kulkarni, Neha Dhupia"
1884,1884. Tanu Weds Manu Returns,2015,7.6,128,30000,Not Rated,,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,Aanand L. Rai,"Kangana Ranaut, Madhavan, Gunnit Kaur"
1885,1885. Neerja,2016,7.6,122,24000,Not Rated,,"The story of courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on Pan Am Flight 73 in 1986 when it was hijacked by a terrorist organization.",Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Yogendra Tikku"
1886,1886. In July,2000,7.6,99,23000,,71.0,"A young, insecure teacher embarks on a journey through Europe to Turkey, where he wants to see a woman again whom he believes to be his fate.",Fatih Akin,"Moritz Bleibtreu, Christiane Paul, Mehmet Kurtulus"
1887,1887. Bob le Flambeur,1956,7.6,102,14000,PG,80.0,"After losing big, an aging gambler decides to assemble a team to rob a casino.",Jean-Pierre Melville,"Roger Duchesne, Isabelle Corey, Daniel Cauchy"
1888,1888. Brat 2,2000,7.6,122,18000,,,"Arriving in Moscow, Danila discovers Konstantin dead and he sets out to avenge his death; a journey that leads him to Chicago and a whole new experience.",Aleksey Balabanov,"Sergey Bodrov, Viktor Sukhorukov, Sergey Makovetskiy"
1889,1889. Athlete A,2020,7.6,103,13000,PG-13,85.0,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.,"Bonni Cohen, Jon Shenk","Maggie Nichols, Gina Nichols, John Nichols"
1890,1890. Shooting Dogs,2005,7.6,115,12000,R,71.0,A Catholic Priest and an English teacher get stranded in a school in Kigali during the 1994 Rwandan genocide.,Michael Caton-Jones,"John Hurt, Hugh Dancy, Dominique Horwitz"
1891,1891. Fireworks Wednesday,2006,7.6,102,14000,Not Rated,84.0,"On the last Wednesday before the spring solstice ushers in the Persian New Year, people set off fireworks following an ancient Zoroastrian tradition. Rouhi, spending her first day at a new job, finds herself in the midst of a different kind of fireworks -- a domestic dispute between her new boss and his wife.",Asghar Farhadi,"Hediyeh Tehrani, Taraneh Alidoosti, Hamid Farrokhnezhad"
1892,1892. When You're Strange,2009,7.6,86,10000,R,55.0,"A look at the late '60s and early '70s rock band The Doors, including rare exclusive footage.",Tom DiCillo,"Johnny Depp, John Densmore, Robby Krieger"
1893,1893. Hungama,2003,7.6,153,18000,Not Rated,,"The story of a bunch of misfits whose misconception about each others backgrounds end up in a series of chaotic, yet comic outcomes.",Priyadarshan,"Akshaye Khanna, Aftab Shivdasani, Rimi Sen"
1894,1894. I've Loved You So Long,2008,7.6,117,21000,PG-13,79.0,A woman struggles to interact with her family and find her place in society after spending fifteen years in prison.,Philippe Claudel,"Kristin Scott Thomas, Elsa Zylberstein, Serge Hazanavicius"
1895,1895. Cholera Street,1997,7.6,120,12000,,,"A young car mechanic, while in the middle of an unlikely love affair, tries to protect the people in his poor gypsy neighborhood from a gangster who terrorizes the locals.",Mustafa Altioklar,"Okan Bayülgen, Müjde Ar, Savas Dinçel"
1896,1896. The Sky Is Pink,2019,7.6,143,10000,,55.0,"Based on the love story of a couple spanning 25 years and told through the lens of their spunky teenage daughter Aisha Chaudhary, who was diagnosed with pulmonary fibrosis.",Shonali Bose,"Priyanka Chopra Jonas, Farhan Akhtar, Zaira Wasim"
1897,1897. Weiner,2016,7.6,96,11000,R,84.0,An examination of disgraced New York Congressman Anthony Weiner's mayoral campaign and today's political landscape.,"Josh Kriegman, Elyse Steinberg","Anthony Weiner, Huma Abedin, Jordan Zain Weiner"
1898,1898. Bilal: A New Breed of Hero,2015,7.6,105,19000,PG-13,52.0,"A thousand years ago, one boy with a dream of becoming a great warrior is abducted with his sister and taken to a land far away from home. Thrown into a world where greed and injustice rule all, Bilal finds the courage to raise his voice and make a change. Inspired by true events, this is a story of a real hero who earned his remembrance in time and history.","Khurram H. Alavi, Ayman Jamal","Adewale Akinnuoye-Agbaje, Ian McShane, China Anne McClain"
1899,1899. Shyam Singha Roy,2021,7.6,155,16000,TV-MA,,"Centers in the theme of reincarnation, unfolding in Kolkata and Hyderabad.",Rahul Sankrityan,"Nani, Sai Pallavi, Krithi Shetty"
1900,1900. Dogtown and Z-Boys,2001,7.6,91,14000,PG-13,76.0,Documentary about the pioneering 1970s Zephyr skating team.,Stacy Peralta,"Sean Penn, Jay Adams, Tony Alva"
1901,1901. Pyaar Ka Punchnama,2011,7.6,149,23000,Not Rated,,Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.,Luv Ranjan,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma"
1902,1902. Side by Side,2012,7.6,99,14000,Not Rated,82.0,"The documentary investigates the history, process and workflow of both digital and photochemical film creation.",Christopher Kenneally,"Derek Ambrosi, Michael Ballhaus, Andrzej Bartkowiak"
1903,1903. RBG,2018,7.6,98,15000,PG,71.0,"The exceptional life and career of U.S. Supreme Court Justice Ruth Bader Ginsburg, who has developed a breathtaking legal legacy while becoming an unexpected pop culture icon.","Julie Cohen, Betsy West","Ruth Bader Ginsburg, Ann Kittner, Harryette Helsel"
1904,1904. Who Killed the Electric Car?,2006,7.6,92,13000,PG,70.0,"A documentary that investigates the birth and death of the electric car, as well as the role of renewable energy and sustainable living in the future.",Chris Paine,"Martin Sheen, Tom Hanks, Mel Gibson"
1905,1905. Müslüm,2018,7.6,136,21000,,,"A biopic about turkish vocal artist Müslüm Gürses, drama, childhood, his life.","Ketche, Can Ulkay","Timuçin Esen, Zerrin Tekindor, Ayça Bingöl"
1906,1906. Indie Game: The Movie,2012,7.6,103,22000,Not Rated,73.0,"A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.","Lisanne Pajot, James Swirsky","Jonathan Blow, Brandon Boyer, Renaud Bédard"
1907,1907. The Man Who Copied,2003,7.6,124,12000,R,49.0,A Brazilian photocopier operator falls in love with a girl who lives in an opposite house and spends his evenings looking at her through his binoculars.,Jorge Furtado,"Lázaro Ramos, Leandra Leal, Luana Piovani"
1908,1908. Sarkar,2005,7.6,124,18000,Not Rated,,"Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.",Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon"
1909,1909. Spellbound,2002,7.6,97,13000,G,80.0,Spellbound follows eight teenagers on their quest to win the 1999 National Spelling Bee.,Jeffrey Blitz,"Angela Arenivar, Ubaldo Arenivar, Jorge Arenivar"
1910,1910. Life in a Day,2011,7.6,95,16000,PG-13,58.0,"A documentary shot by film-makers all over the world that serves as a time capsule to show future generations what it was like to be alive on the twenty-fourth of July, 2010.","Tegan Bukowski, Loressa Clisby, Kevin Macdonald","Hiroaki Aikawa, Cindy Baer, Teagan Bentley"
1911,1911. Madaari,2016,7.6,133,15000,Not Rated,,"When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge.",Nishikant Kamat,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal"
1912,1912. Bheja Fry,2007,7.6,95,12000,Not Rated,,"Ranjit, who makes fun of idiots, gets completely annoyed when he invites a tax inspector and a singer to his house.",Sagar Ballary,"Vinay Pathak, Rajat Kapoor, Sarika Thakur"
1913,1913. Somersault in a Coffin,1996,7.6,76,12000,,,A homeless man named Mahsun survives in Istanbul's Rumelihisari by stealing cars at night and returning them clean.,Dervis Zaim,"Ahmet Ugurlu, Tuncel Kurtiz, Aysen Aydemir"
1914,1914. Checkmate,2023,7.6,112,25000,18+,,"An assassin gets hired for a job that throws him in a murky pool of mishaps, eventually leading to a baffling secret.","Akriti Bajpai, Harsh Beniwal","Harsh Beniwal, Mohit Chhikara, Aditya Paul"
1915,1915. Khaleja,2010,7.6,170,10000,,,"When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior.",Trivikram Srinivas,"Mahesh Babu, Anushka Shetty, Prakash Raj"
1916,1916. Newton,2017,7.6,106,22000,Not Rated,,A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,Amit Masurkar,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil"
1917,"1917. What Happened, Miss Simone?",2015,7.6,101,15000,Not Rated,75.0,"A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul.""",Liz Garbus,"Nina Simone, Lisa Simone Kelly, Roger Nupie"
1918,1918. Parmanu: The Story of Pokhran,2018,7.6,129,26000,Not Rated,,"Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.",Abhishek Sharma,"John Abraham, Boman Irani, Diana Penty"
1919,1919. Ayan,2009,7.6,162,12000,,,"A young man's smuggling lifestyle takes a serious turn, when a fierce rival tries to eliminate him from the business.",K.V. Anand,"Suriya, Tamannaah Bhatia, Prabhu"
1920,1920. Kabhi Haan Kabhi Naa,1994,7.6,158,20000,,,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,Kundan Shah,"Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori"
1921,1921. GasLand,2010,7.6,107,11000,Not Rated,,An exploration of the fracking petroleum extraction industry and the serious environmental consequences involved.,Josh Fox,"Josh Fox, Dick Cheney, Pete Seeger"
1922,1922. Aamir,2008,7.6,99,12000,,,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.,Raj Kumar Gupta,"Rajeev Khandelwal, Mukesh Agrohari, Supavitra Babul"
1923,1923. Pokkiri,2007,7.6,161,14000,Not Rated,,Thamizh is a killer for hire with no ties and who will do any dirty job for money. He has a girlfriend who loves him but also detests his violent nature. But is Thamizh really what he purports to be?,Prabhu Deva,"Joseph Vijay, Asin Thottumkal, Prakash Raj"
1924,1924. Irudhi Suttru,2016,7.6,109,13000,Not Rated,,The story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her.,Sudha Kongara,"Madhavan, Nassar, Radha Ravi"
1925,1925. Free to Play,2014,7.6,75,14000,,,"Follow three professional video game players as they overcome personal adversity, family pressures, and the realities of life to compete in a $1,000,000 tournament that could change their lives forever.",Valve,"Benedict Lim, Clinton Loomis, Danil Ishutin"
1926,1926. Nosferatu,2024,7.5,132,102000,R,78.0,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård"
1927,1927. Marco,2024,7.5,145,15000,,,"Gangster Marco and the powerful Adat family, who dominate Kerala's gold mafia.",Haneef Adeni,"Unni Mukundan, Yukti Thareja, Kabir Duhan Singh"
1928,1928. Nr. 24,2024,7.5,111,10000,,,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sabotage making him Norway's greatest war hero.",John Andreas Andersen,"Sjur Vatne Brean, Erik Hivju, Philip Helgar"
1929,1929. Furiosa: A Mad Max Saga,2024,7.5,148,262000,R,79.0,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke"
1930,1930. Eyes Wide Shut,1999,7.5,159,393000,TV-MA,69.0,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.",Stanley Kubrick,"Tom Cruise, Nicole Kidman, Todd Field"
1931,1931. 28 Days Later,2002,7.5,113,467000,R,73.0,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.",Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston"
1932,1932. The Greatest Showman,2017,7.5,105,326000,PG,48.0,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron"
1933,1933. Beetlejuice,1988,7.5,92,398000,PG,71.0,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton"
1934,1934. Avatar: The Way of Water,2022,7.5,192,524000,PG-13,67.0,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
1935,1935. The Fabelmans,2022,7.5,151,125000,PG-13,85.0,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",Steven Spielberg,"Michelle Williams, Gabriel LaBelle, Paul Dano"
1936,1936. Erin Brockovich,2000,7.5,131,230000,R,73.0,A flamboyant law firm secretary works tirelessly to gain justice for a small town wrecked by a utility company's pollution.,Steven Soderbergh,"Julia Roberts, Albert Finney, David Brisbin"
1937,1937. Harry Potter and the Order of the Phoenix,2007,7.5,138,658000,PG-13,71.0,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
