Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
3173,"3173. Don't Worry, I'm Fine",2006,7.3,92,11000,,,Lili returns from holidays and learns that her twin brother left the house after a violent argument with their father.,Philippe Lioret,"Mélanie Laurent, Kad Merad, Isabelle Renauld"
3174,3174. Butterflies,2018,7.3,117,19000,,,"In a Turkish village, three siblings who neither know each other nor anything about their late father, wait to bury his body. As they start to find out more about their father and each other, they also start to learn more about themselves.",Tolga Karaçelik,"Tolga Tekin, Bartu Küçükçaglayan, Tugce Altug"
3175,3175. Once Upon a Time in China II,1992,7.3,113,11000,R,,"Arriving by train in Guangzhou, 1895, the trio fight off White Lotus followers, who want to kill all foreigners and the cute, European dressed 13th Aunt. It's not kung fu master Dr. Wong's (Jet Li) last fight.",Hark Tsui,"Jet Li, Rosamund Kwan, Mok Siu-Chung"
3176,3176. 13 Tzameti,2005,7.3,93,18000,Not Rated,61.0,A man takes over a dead man's task without realizing the horror it entails.,Géla Babluani,"George Babluani, Aurélien Recoing, Pascal Bongard"
3177,3177. Mardaani 2,2019,7.3,103,11000,,,A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?,Gopi Puthran,"Rani Mukerji, Rajesh Sharma, Shruti Bapna"
3178,3178. The Selfish Giant,2013,7.3,91,13000,Not Rated,83.0,Two thirteen year-old working-class friends in Bradford seek fortune by getting involved with a local scrap dealer and criminal.,Clio Barnard,"Conner Chapman, Shaun Thomas, Sean Gilder"
3179,3179. Taxi No. 9 2 11: Nau Do Gyarah,2006,7.3,116,11000,Not Rated,,A cabbie (Patekar) and businessman (Abraham) both in need of big money partake in a two-hour adventure together.,Milan Luthria,"John Abraham, Nana Patekar, Sonali Kulkarni"
3180,3180. Chinese Take-Away,2011,7.3,93,20000,Not Rated,,A well-ordered hardware store owner in Buenos Aires will see his life turn upside down when he helps a stranded Chinese man who doesn't speak a word of Spanish find his uncle in the bustling city. But can this coexistence bear fruit?,Sebastián Borensztein,"Ricardo Darín, Ignacio Huang, Carolina Hsu"
3181,3181. On My Skin: The Last Seven Days of Stefano Cucchi,2018,7.3,100,10000,TV-MA,,"The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime but in just one week's time, a family is changed forever.",Alessio Cremonini,"Alessandro Borghi, Massimiliano Tortora, Milvia Marigliano"
3182,3182. Cartel Land,2015,7.3,100,19000,R,76.0,Filmmaker Matthew Heineman examines the state of the ongoing drug problem along the U.S.-Mexican border.,Matthew Heineman,"Tim Foley, José Manuel 'El Doctor' Mireles, Paco Valencia"
3183,3183. Soaked in Bleach,2015,7.3,90,12000,Not Rated,50.0,"Tom Grant, a private investigator once hired by Courtney Love, reveals his take on the death of Kurt Cobain.",Benjamin Statler,"Daniel Roebuck, Sarah Scott, August Emerson"
3184,3184. Talk to Me,2007,7.3,118,10000,R,69.0,"The story of Washington D.C. radio personality Ralph ""Petey"" Greene, an ex-con who became a popular talk show host and community activist in the 1960s.",Kasi Lemmons,"Don Cheadle, Chiwetel Ejiofor, Bruce McFee"
3185,3185. Divines,2016,7.3,105,11000,,71.0,A street teenager from a dysfunctional family from a banlieue (HLMs) in Paris comes across a young dancer who turns her life upside down.,Houda Benyamina,"Oulaya Amamra, Déborah Lukumuena, Kévin Mischel"
3186,3186. The Misfortunates,2009,7.3,108,12000,Not Rated,54.0,"A thirty-something novelist and impending father looks back on his all-too-formative years in the hapless, alcohol-ridden milieu of his youth in 1980s rural Flanders, Belgium.",Felix van Groeningen,"Kenneth Vanbaeden, Valentijn Dhaenens, Koen De Graeve"
3187,3187. Maine Pyar Kiya,1989,7.3,192,13000,Not Rated,,"After Suman's father leaves her in the care of another family while he travels abroad, she falls in love with Prem. However, in order to for them to marry, Prem has to prove to Suman's father that he is not the same as his own dad.",Sooraj R. Barjatya,"Salman Khan, Bhagyashree Patwardhan, Alok Nath"
3188,3188. Lost in La Mancha,2002,7.3,89,12000,R,75.0,"Terry Gilliam's doomed attempt to get his film, The Man Who Killed Don Quixote (2018), off the ground.","Keith Fulton, Louis Pepe","Terry Gilliam, Johnny Depp, Jeff Bridges"
3189,3189. Taxi,2015,7.3,82,17000,Not Rated,91.0,"Banned from making movies by the Iranian government, Jafar Panahi poses as a taxi driver and makes a movie about social challenges in Iran.",Jafar Panahi,"Jafar Panahi, Nasrin Sotoudeh"
3190,3190. Coming Soon,2014,7.3,134,36000,,,"Pirated DVD seller Zafer who is formerly an extra in movies; swore to give up illegal works when his wife wanted to get divorce. To win his family back, he and his old-fashioned crew decided to make a movie called ""Summit - The End Of Evil"" which is a fantastic science fiction movie and couldn't be shot since 1977.",Cem Yilmaz,"Cem Yilmaz, Tülin Özen, Zafer Algöz"
3191,3191. Telling Tales,2015,7.3,103,17000,TV-Y7,,The story of a minibus driver and a fairytale princesss nestling under the wing of timeless friendship in an ordinary neighborhood.,Burak Aksak,"Hande Dogandemir, Fatih Artman, Cengiz Bozkurt"
3192,3192. Jersey,2022,7.3,170,15000,Not Rated,,A cricketer who quits cricket decides to revive his career at the age of 36 for his sons dream and prove his ability.,Gowtam Tinnanuri,"Shahid Kapoor, Mrunal Thakur, Pankaj Kapur"
3193,3193. Mardaani,2014,7.3,113,14000,Not Rated,,"A female cop Shivani Shivaji Roy, working at a Mumbai Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia.",Pradeep Sarkar,"Rani Mukerji, Jisshu Sengupta, Anant Vidhaat"
